2899,432.15,EUR
4317,82.67,USD
1872,634.51,GBP
5468,246.12,CAD
9187,738.24,JPY
7642,189.57,GBP
3124,540.76,USD
6822,93.82,CAD
5397,276.45,JPY
4089,512.38,EUR
1176,99.27,GBP
9921,153.59,USD
7398,712.21,CAD
6879,851.08,JPY
2658,305.75,EUR
9129,67.93,GBP
5443,234.76,USD
8987,148.19,CAD
6117,912.61,JPY
3755,625.88,EUR
6294,72.14,GBP
2685,437.92,USD
5571,195.37,CAD
7723,529.18,JPY
8264,388.91,EUR
4749,109.48,GBP
5482,357.62,USD
9655,623.17,CAD
7479,825.29,JPY
4383,284.45,EUR
6637,83.96,GBP
8127,218.73,USD
5294,387.15,CAD
6976,723.56,JPY
1169,255.87,EUR
8279,44.63,GBP
5782,167.91,USD
8942,982.35,CAD
4318,641.26,JPY
1173,972.81,EUR
4399,97.19,GBP
6941,367.84,USD
2104,841.72,CAD
1557,554.42,JPY
8577,262.68,EUR
6902,64.27,GBP
4276,312.53,USD
8589,531.87,CAD
2197,749.42,JPY
8164,940.15,EUR
4259,72.59,GBP
9206,195.36,USD
3229,729.78,CAD
1573,957.67,JPY
4779,222.41,EUR
8941,49.87,GBP
7616,305.94,USD
6847,174.92,CAD
9512,811.26,JPY
3289,114.79,EUR
6664,92.43,GBP
3769,273.17,USD
5522,409.82,CAD
7791,715.49,JPY
2287,586.94,EUR
6966,83.69,GBP
1368,120.14,USD
7322,985.73,CAD
6657,871.89,JPY
5511,459.62,EUR
8874,65.38,GBP
3352,220.87,USD
4825,628.45,CAD
2994,982.78,JPY
6323,395.82,EUR
9186,47.19,GBP
4441,191.24,USD
6662,766.92,CAD
8407,939.17,JPY
2992,374.56,EUR
1096,70.48,GBP
6922,264.77,USD
5483,599.43,CAD
9118,702.24,JPY
